Date,K,Bisection,Secant,Newton,MP,BSM
0.07,820,0.3955072326660157,0.3954698544420604,0.3954698549152809,14.75,14.752660888289512
0.07,825,0.39013667602539065,0.39019466294512617,0.3901946664630592,13.1,13.09602140583658
0.07,830,0.3914793151855468,0.3914478397141456,0.391447841752834,12.0,12.002086692640574
0.07,835,0.3906249084472656,0.3906357841410147,0.390635785699863,10.85,10.849307033126507
0.07,840,0.3842778869628906,0.38426082065021777,0.3842608226953133,9.45,9.451031191870072
0.07,845,0.38452200317382806,0.3845405935769883,0.3845406028087616,8.55,8.548926690046528
0.07,855,0.3790293884277343,0.3789930817403298,0.3789930857794959,6.65,6.651863831096762
0.07,860,0.37561176147460934,0.3756609313417722,0.3756609385441348,5.8,5.797640393681931
0.07,865,0.3636500671386719,0.3636174990384992,0.36361751056699443,4.65,4.651406821171037
0.07,870,0.36426035766601567,0.36426833585449137,0.36426835444896455,4.15,4.149676683046181
0.07,880,0.3658471130371093,0.3657910883580716,0.365791111671854,3.3,3.301969431987146
0.07,885,0.354251593017578,0.354288479620105,0.35428850229387904,2.55,2.5488743554375404
0.07,890,0.35840156860351563,0.358444232637218,0.3584442654769187,2.35,2.348773464649902
0.07,895,0.3571809875488281,0.35719156280676223,0.3571915923038635,2.025,2.024723042311514
0.07,905,0.3529089538574218,0.3529127361722003,0.3529127724575452,1.45,1.4499198156027049
0.07,910,0.3485148620605468,0.3484648343048645,0.3484648792272185,1.175,1.1759143257961
0.07,915,0.3475383972167968,0.34758893827021764,0.34758899877501886,1.0,0.9991735576252729
0.07,920,0.3566927551269531,0.3566399182673806,0.3566399819866116,1.0,1.0008470961656748
0.07,925,0.3520545471191406,0.3520596489977464,0.35205972046721223,0.8,0.7999287356828013
0.07,930,0.35888980102539064,0.3588356964578062,0.3588357724916255,0.775,0.7757175977036788
0.07,935,0.36731181030273435,0.3673624486158528,0.3673625251014861,0.775,0.7743379369312393
0.07,940,0.37585587768554685,0.3758095682770279,0.37580964399609096,0.775,0.7755941717757686
0.07,945,0.38415582885742183,0.38417913766080597,0.3841792114854114,0.775,0.7747042856345558
0.07,950,0.3526648376464843,0.3527147204269408,0.35271486081888803,0.375,0.37461093896920694
0.07,955,0.40063367309570314,0.40069337116751846,0.4006934644739296,0.775,0.7742663469397222
0.07,960,0.34900309448242184,,0.348950536531245,0.25,0.25030065163127624
0.07,965,0.4147924133300781,0.41480249257537244,0.41480257819686306,0.75,0.7498812261515404
0.07,970,0.36767798461914064,,0.36762528665333755,0.275,0.27531223439994257
0.07,975,0.3604765563964843,,0.3604611536892087,0.2,0.2000719843146781
0.07,980,0.43395553588867186,0.4339925186819082,0.4339926226193911,0.7,0.6996016834191643
0.07,985,0.36841033325195316,,0.3683842901261245,0.175,0.17510755778813625
0.07,990,0.4470157531738281,0.4469680537346602,0.4469681445629064,0.675,0.6754872202760858
0.07,995,0.4545833557128906,0.4545420354748377,0.45454214398302956,0.675,0.675416630785719
0.07,1000,0.3741470642089843,,0.3741204102969757,0.125,0.12508285259952423
